id,sequence,start_frame,end_frame,frame_count,point_in_boxes,object_count,Car,Truck,Pedestrian,Cyclist
0088,0032,005973,006044,72,514282,502,59,257,33,153
0091,0033,006097,006129,33,380596,511,296,148,14,53
0212,0003,000999,001027,28,357117,512,355,117,2,38
0003,0000,000054,000075,22,347782,519,307,150,4,58
0092,0033,006130,006160,31,298742,507,295,128,8,76
0067,0018,003492,003532,41,291944,507,331,64,41,71
0105,0040,007326,007392,61,278852,506,302,65,10,129
0090,0033,006058,006096,39,277051,503,290,154,7,52
0050,0005,001428,001448,20,265208,526,330,103,19,74
0049,0005,001408,001427,20,262021,523,309,120,9,85
0208,0003,000870,000924,55,254586,502,278,62,1,161
0048,0005,001388,001407,20,239289,526,335,105,4,82
0211,0003,000975,000998,24,231672,519,348,103,1,67
0087,0032,005919,005972,54,228357,511,153,207,1,150
0036,0004,001109,001134,26,228089,508,237,132,20,119
0033,0002,000782,000847,66,216849,505,313,39,3,150
0009,0001,000237,000260,21,210027,518,344,91,4,79
0078,0025,004799,004879,81,203675,502,289,119,48,46
0202,0094,017143,017159,17,203246,505,248,32,66,159
0116,0049,008856,008930,75,203159,503,314,57,12,120
0053,0008,001865,001885,20,194458,514,284,110,1,119
0035,0004,001083,001108,25,193784,512,262,127,6,117
0177,0072,013648,013692,44,187896,507,383,69,13,42
0229,0021,004072,004146,75,187640,506,238,178,7,83
0073,0023,004394,004498,105,185612,503,258,191,26,28
0233,0042,007694,007753,60,182331,504,258,124,71,51
0218,0014,002879,002917,39,180565,504,357,3,1,143
0118,0050,008982,009015,34,180226,504,364,70,4,66
0068,0018,003533,003617,85,180167,501,257,100,1,143
0242,0058,010600,010641,42,175444,509,344,41,31,93
0015,0002,000465,000483,17,170799,527,432,58,1,36
0102,0037,006741,006784,44,167557,501,285,127,59,30
0108,0041,007514,007573,60,165696,503,350,139,1,13
0101,0037,006698,006740,43,163581,514,207,132,77,98
0241,0058,010570,010599,30,162712,506,309,48,59,90
0037,0004,001135,001159,23,162231,506,233,137,35,101
0169,0068,012647,012665,19,161236,524,402,27,36,59
0205,0094,017196,017215,20,158126,504,354,15,48,87
0077,0025,004768,004798,31,157522,501,338,56,25,82
0203,0094,017160,017177,18,155409,513,317,24,63,109
0168,0068,012629,012646,18,155150,520,367,38,45,70
0184,0080,014579,014628,50,154441,509,288,50,56,115
0240,0058,010546,010569,24,153259,514,291,72,30,121
0170,0068,012666,012684,19,150489,504,369,25,41,69
0014,0002,000445,000464,17,150365,521,395,74,2,50
0272,0071,013349,013411,63,149695,502,412,39,12,39
0185,0080,014629,014712,84,144065,501,285,13,79,124
0235,0052,009363,009408,46,141173,510,366,85,4,55
0085,0030,005652,005740,89,138534,502,273,44,44,141
0062,0010,002270,002322,38,138228,506,290,52,104,60
0286,0086,015707,015735,29,133648,505,319,61,11,114
0248,0059,010777,010791,15,131988,518,238,40,76,164
0136,0057,010292,010335,44,131868,509,352,54,7,96
0196,0093,017001,017027,27,130718,511,231,54,85,141
0262,0063,011545,011568,24,128588,514,347,43,49,75
0247,0059,010762,010776,15,128127,523,247,57,59,160
0076,0025,004723,004767,27,128019,506,361,54,1,90
0245,0059,010732,010746,15,124038,526,266,66,19,175
0263,0063,011569,011613,43,119991,503,304,43,84,72
0125,0054,009813,009880,68,119914,502,268,75,36,123
0275,0073,013729,013749,21,118224,515,433,37,2,43
0197,0093,017028,017055,28,118090,516,174,48,90,204
0124,0054,009776,009812,37,117995,511,270,49,2,190
